"name","artist","cluster_id"
"Jesus of Suburbia (live at Makuhari Messe, Tokyo, Japan, 3/19/05)","{""Green Day""}",27
"She’s Sure the Girl I Love","{""Die Toten Hosen""}",27
"Kiss It Goodbye","{Nickelback}",27
"Are We the Waiting (live at Makuhari Messe, Tokyo, Japan, 3/19/05)","{""Green Day""}",27
"American Idiot (live at Irving Plaza, New York, NY, 9/21/04)","{""Green Day""}",27
"Vegas Bomb","{Nickelback}",27
"Teterboro Flow","{Tyga}",28
"Synthesizer","{OutKast,""George Clinton""}",28
"Hypno","{T.I.,Rahky}",28
"Remember Me?","{Eminem,""RBX and Sticky Fingaz""}",28
"Tone Deaf","{Eminem}",28
"I Got One for Ya’","{""Kid Rock""}",28
"Locked & Loaded (Feat. Kev Da Hustla)","{""Wiz Khalifa""}",28
"Muh Fucka","{Tyga,A.E}",28
"Little Engine","{Eminem}",28
"You Got Me","{G‐Eazy}",28
"Latin Girls (Feat. Debi Nova)","{""The Black Eyed Peas""}",28
"Bowtie (Postlude)","{OutKast}",28
"No Singles","{""Wiz Khalifa""}",28
"Fergalicious","{Fergie}",28
"I’m Back","{Eminem}",28
"Barfly","{""Aimee Mann""}",29
"Nevertheless (I’m in Love with You)","{""Michael Buble"",""The Puppini Sisters""}",29
"Where Nobody Knows","{""Kings of Leon""}",29
"Little Jeannie","{""Elton John""}",29
"Above the Trees","{""Corey Hart""}",29
"Get Yourself Another Fool","{""Paul McCartney""}",29
"Turn the Lights Out When You Leave","{""Elton John""}",29
"Wonderful River","{Keane}",29
"Lay It on Me","{""Vance Joy""}",29
"no body, no crime","{""Taylor Swift"",HAIM}",29
"That’s Life","{""Michael Buble""}",29
"This One","{""Vance Joy""}",29
"Salvation","{""Elton John""}",29
"Love Ain’t Here Anymore","{""Take That""}",29
"Driving Sideways","{""Aimee Mann""}",29
"Fear","{OneRepublic}",30
"Glada","{""Future Islands""}",30
"Roll It Over","{Oasis}",30
"Intermezzo No. 1","{ABBA}",30
"No Loss","{""The Range""}",30
"Slow Night, So Long","{""Kings of Leon""}",30
"Dead Man’s Hand","{""Lord Huron""}",30
"Silence","{Stromae}",30
"Burns Night","{""Calvin Harris""}",30
"Broken Arrow","{""Corey Hart""}",30
"Sky Diver","{""Owl City""}",30
"Time of the Moon","{t.A.T.u.}",30
"Loss of Life (Part 2)","{MGMT}",30
"Dimension of Depth","{""Ace of Base""}",30
"Nothing That Has Happened So Far Has Been Anything We Could Control","{""Tame Impala""}",30
"On the Wagon (outtake)","{""Green Day""}",31
"Riot Van","{""Arctic Monkeys""}",31
"Lucky Man (Remastered)","{""The Verve""}",31
